"Id","Link","Make","Model","Trim","Year","Price","Mileage","Date_sold","Average_Year_per_Trim","Average_Milerange_per_Trim_Year_LR","Average_Price_per_Trim","Year_Effect","Mileage_Effect","L_Predicted_Price","L_Price_Gap_Percentage","R_Predicted_Price","R_Price_Gap_Percentage","Count"
"1712650250-349","https://qatarsale.com/en/product/suzuki_vitara_black_and_red_suv_automatic_2020-176398","Suzuki","Suzuki-Vitara","Suzuki-Suzuki-Vitara-Standard-4-Automatic","2020","36,500","1e+05","","2,020.857","80,250.00","48,856.43","-6,439.762","-1,340.367","41,076.3",12.5378082191797,"39,155.76",7.27605716894976,1
"1712650178-138","https://qatarsale.com/en/product/toyota_camry_gl_white_sedan_automatic_2023-166775","Toyota","Toyota-Camry","Toyota-Toyota-Camry-GL-4-Automatic","2023","99,000","2,900","","2,016.714","39,611.11","44,571.43","50,528.57","4,505.627","99,605.63",0.611744107745648,"99,028.4",0.0286878583884288,1
"1712650227-287","https://qatarsale.com/en/product/toyota_camry_xse_black_sedan_automatic_2023-200799","Toyota","Toyota-Camry","Toyota-Toyota-Camry-XSE-4-Automatic","2023","110,000","38,000","","2,023.00","40,000.00","110,000.00","0","0","110,000",0,"99,248.51",-9.7740821818182,1
"1712650157-44","https://qatarsale.com/en/product/toyota_coaster_white_van_bus_manual_2015-209766","Toyota","Toyota-Coaster","Toyota-Toyota-Coaster-Standard-4-Manual","2015","75,000","165,000","","2,015.50","170,000.00","80,000.00","-5,000","0","75,000",0,"70,790.51",-5.61265004444442,1
"1712650167-77","https://qatarsale.com/en/product/toyota_corolla_xli_white_sedan_automatic_2020-212049","Toyota","Toyota-Corolla","Toyota-Toyota-Corolla-XLI-4-Automatic","2020","53,000","74,000","","2,021.125","99,293.79","55,562.50","-5,922.669","1,532.384","51,172.21",-3.44865116833927,"57,230.57",7.98221389937106,1
"1712650167-73","https://qatarsale.com/en/product/toyota_fortuner_white_suv_automatic_2020-207451","Toyota","Toyota-Fortuner","Toyota-Toyota-Fortuner-Standard-4-Automatic","2020","88,000","42,000","","2,020.433","73,064.81","98,600.00","-2,793.122","3,535.629","99,342.51",12.8892124507873,"88,101.73",0.115599242424287,1
"1712650227-264","https://qatarsale.com/en/product/toyota_hilux_white_pick_up_automatic_2022-185984","Toyota","Toyota-Hilux","Toyota-Toyota-Hilux-Standard-4-Automatic","2022"," 90,000"," 16,000","","2,022.448"," 34,871.08","100,175.75"," -3,828.757"," 2,292.454","98,639.44",9.5993800314915," 95,681.80",6.31310784313723,3
"1712650227-262","https://qatarsale.com/en/product/toyota_hilux_white_pick_up_automatic_2020-138937","Toyota","Toyota-Hilux","Toyota-Toyota-Hilux-Standard-4-Automatic","2020","100,000","  3,000","","2,022.448"," 90,690.01","100,175.75","-18,399.598","10,557.629","92,333.78",-7.66622377716564,"102,151.76",2.15175570969771,3
"1712650167-87","https://qatarsale.com/en/product/toyota_hilux_white_pick_up_automatic_2019-211700","Toyota","Toyota-Hilux","Toyota-Toyota-Hilux-Standard-4-Automatic","2019"," 65,000","143,000","","2,022.448","118,599.47","100,175.75","-25,685.018","-3,742.477","70,748.25",8.84346167870059," 64,686.75",-0.481920358974312,3
"1712650201-183","https://qatarsale.com/en/product/toyota_land_cruiser_gx_white_suv_automatic_2017-215221","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GX-6-Automatic","2017","105,000","300,000","","2,022.194","194,522.194","212,786.34","-87,648.786","-21,118.776","104,018.8",-0.934493921467677,"126,935.5",20.8909206349206,11
"1712650146-3","https://qatarsale.com/en/product/toyota_land_cruiser_gx_white_suv_automatic_2019-215171","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GX-6-Automatic","2019","118,000","130,000","","2,022.194","141,427.630","212,786.34","-57,335.759","  2,842.291","158,292.9",34.1465044892577,"132,213.7",12.0455084745763,11
"1712650239-299","https://qatarsale.com/en/product/toyota_land_cruiser_gx_white_suv_automatic_2024-215313","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GX-6-Automatic","2024","233,000","      0","","2,022.194","  8,691.222","212,786.34"," 18,446.808","  3,215.518","234,448.7",0.621746588605314,"242,234.4",3.96326446450505,11
"1712650157-46","https://qatarsale.com/en/product/toyota_land_cruiser_gx_white_suv_automatic_2024-215186","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GX-6-Automatic","2024","238,000","      0","","2,022.194","  8,691.222","212,786.34"," 18,446.808","  3,215.518","234,448.7",-1.4921556506511,"242,234.4",1.77916226987259,11
"1712650227-273","https://qatarsale.com/en/product/toyota_land_cruiser_gx_white_suv_automatic_2022-215253","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GX-6-Automatic","2022","201,999"," 61,000","","2,022.194"," 61,785.785","212,786.34","-11,866.219"," -2,640.642","198,279.5",-1.84135410226694,"204,801.7",1.38747582987404,11
"1712650227-280","https://qatarsale.com/en/product/toyota_land_cruiser_gx_black_suv_automatic_2024-215247","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GX-6-Automatic","2024","241,000","      0","","2,022.194","  8,691.222","212,786.34"," 18,446.808","  3,215.518","234,448.7",-2.71839437699154,"242,234.4",0.5122017436916,11
"1712650146-31","https://qatarsale.com/en/product/toyota_land_cruiser_gx_black_suv_automatic_2024-215151","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GX-6-Automatic","2024","242,000","      0","","2,022.194","  8,691.222","212,786.34"," 18,446.808","  3,215.518","234,448.7",-3.12038448287174,"242,234.4",0.096862067064775,11
"1712650178-131","https://qatarsale.com/en/product/toyota_land_cruiser_gx_black_suv_automatic_2023-208841","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GX-6-Automatic","2023","232,000"," 17,000","","2,022.194"," 35,238.504","212,786.34","  3,290.295","  5,268.295","221,344.9",-4.59270100169029,"231,749.5",-0.107974137931009,11
"1712650167-81","https://qatarsale.com/en/product/toyota_land_cruiser_gx_white_suv_automatic_2020-190460","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GX-6-Automatic","2020","135,000","140,000","","2,022.194","114,880.349","212,786.34","-42,179.246"," -6,856.945","163,750.2",21.2964093028893,"134,576.9",-0.313382716049414,11
"1712650250-336","https://qatarsale.com/en/product/toyota_land_cruiser_gx_black_suv_automatic_2022-215358","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GX-6-Automatic","2022","214,000"," 30,000","","2,022.194"," 61,785.785","212,786.34","-11,866.219"," 10,218.246","211,138.4",-1.33720975929951,"212,612.7",-0.648286604361375,11
"1712650217-244","https://qatarsale.com/en/product/toyota_land_cruiser_gx_gray_suv_automatic_2023-213968","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GX-6-Automatic","2023","224,000"," 49,000","08-Apr-2024","2,022.194"," 35,238.504","212,786.34","  3,290.295"," -5,103.383","210,973.3",-5.81551114364823,"221,314.4",-1.19892857142861,11
"1712650217-249","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_grand_touring_white_suv_automatic_2021-210954","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR- Grand Touring-6-Automatic","2021","205,000","108,000","","2,020.806","50,673.91","243,548.39","-4,617.832","-22,679.7","216,250.9",5.48822033698421,"200,773.6",-2.06167923133781,1
"1712650167-75","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_grand_touring_white_suv_automatic_2021-139672","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR- Grand Touring-8-Automatic","2021","195,000","136,000","","2,020.184","88,720.24","204,714.29","18,625.54","-18,324.5","205,015.3",5.13606451749603,"196,320.3",0.677059829059842,1
"1712650239-308","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_white_suv_automatic_2018-215347","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-6-Automatic","2018","141,000","225,000","","2,021.562","158,347.56","230,207.45"," -65,807.666","-18,847.433","145,552.3",3.22861460370223,"154,836.3",9.81295508274236,10
"1712650167-107","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_white_suv_automatic_2015-215193","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-6-Automatic","2015","105,000","230,000","","2,021.562","237,906.43","230,207.45","-118,684.678","  1,410.796","112,933.6",7.55577492380846,"115,115.4",9.63374603174599,10
"1712650146-33","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_black_suv_automatic_2024-212916","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-6-Automatic","2024","266,000","      0","","2,021.562","      0.00","230,207.45","  39,946.357","      0.000","270,153.8",1.56158014845547,"273,480.5",2.81220694448166,10
"1712650227-266","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_black_suv_automatic_2024-215271","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-6-Automatic","2024","268,000","      0","","2,021.562","      0.00","230,207.45","  39,946.357","      0.000","270,153.8",0.803657908541621,"273,480.5",2.04495166877657,10
"1712650227-263","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_white_suv_automatic_2024-180316","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-6-Automatic","2024","270,000","      0","","2,021.562","      0.00","230,207.45","  39,946.357","      0.000","270,153.8",0.0569641462561278,"273,480.5",1.28906313789674,10
"1712650157-59","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_black_suv_automatic_2022-213598","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-6-Automatic","2022","219,000"," 83,000","","2,021.562"," 52,269.06","230,207.45","   4,695.016","-14,180.946","220,721.5",0.786080341591416,"216,515.7",-1.13436834094367,10
"1712650167-100","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_black_suv_automatic_2024-215201","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-6-Automatic","2024","282,000","      0","","2,021.562","      0.00","230,207.45","  39,946.357","      0.000","270,153.8",-4.20077900890371,"273,480.5",-3.02110976158822,10
"1712650227-254","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_silver_suv_automatic_2018-215304","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-6-Automatic","2018","155,000","161,000","","2,021.562","158,347.56","230,207.45"," -65,807.666"," -3,065.054","161,334.7",4.08691964023459,"149,975.4",-3.2416989247312,10
"1712650217-232","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_black_suv_automatic_2024-214523","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-6-Automatic","2024","337,000","      0","","2,021.562","      0.00","230,207.45","  39,946.357","      0.000","270,153.8",-19.8356667077473,"273,480.5",-18.8485250823973,10
"1712650217-233","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_black_suv_automatic_2024-214532","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-6-Automatic","2024","337,000","      0","","2,021.562","      0.00","230,207.45","  39,946.357","      0.000","270,153.8",-19.8356667077473,"273,480.5",-18.8485250823973,10
"1712650178-117","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_white_suv_automatic_2014-198328","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-8-Automatic","2014","109,999","237,000","","2,017.848","266,044.88","164,700.00","-59,721.720","  4,374.633837","109,352.9",-0.587359959536959,"113,194.0",2.90458113255569,8
"1712650167-85","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_white_suv_automatic_2020-200710","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-8-Automatic","2020","175,000","189,000","","2,017.848","114,018.80","164,700.00"," 33,352.172","-24,077.186748","173,975.0",-0.585725002451151,"178,069.8",1.75418775510206,8
"1712650178-141","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_2017_white_automatic_suv-121013","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-8-Automatic","2017","149,000","192,000","","2,017.848","190,031.84","164,700.00","-13,184.774"," -2,416.525489","149,098.7",0.0662392942451297,"150,454.2",0.975973154362463,8
"1712650167-82","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_white_suv_automatic_2018-196544","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-8-Automatic","2018","155,000","236,000","","2,017.848","164,694.16","164,700.00","  2,327.542","-20,125.039089","146,902.5",-5.22419466675484,"155,836.1",0.539419032258091,8
"1712650146-11","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_white_suv_automatic_2020-215169","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-8-Automatic","2020","193,000"," 90,000","","2,017.848","114,018.80","164,700.00"," 33,352.172","  7,611.160131","205,663.3",6.56130990913574,"192,199.6",-0.414726432496691,8
"1712650146-32","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_silver_suv_automatic_2017-215149","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-8-Automatic","2017","159,000","183,000","","2,017.848","190,031.84","164,700.00","-13,184.774","      7.718064","151,522.9",-4.70255339558488,"158,198.4",-0.504171907756794,8
"1712650201-207","https://qatarsale.com/en/product/toyota_land_cruiser_gxr_white_suv_automatic_2015-215214","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-8-Automatic","2015","109,000","260,000","","2,017.848","240,707.20","164,700.00","-44,209.404"," -3,719.362161","116,771.2",7.12956810921333,"108,156.0",-0.774311926605465,8
