"web.scraper.order","web.scraper.start.url","image.src","make","model","trim","personal","year","gear_type","cylinder","mileage","price","time","likes","car","car.href","date_sold","posted_time","mileage_range","year2","b_make","b_model","b_trim","a","b","aa","bb","price_pmmt","avg_ymmt","avg_mileage_range","year_updated","mileage_range_updated","price_year_value","avg_mileage_range_updated","pred1","pred2","pred3","predicted_price_rf","price_difference","percentage_difference","percentage_difference_updated","price_difference_rf","percentage_difference_rf","percentage_difference_updated_rf","absolut_difference","Year_Effect","Mileage_Effect","pred3_pmmt","pmmt_difference","pmmt_absolute"
"1712650167-87","https://qatarsale.com/en/products/cars_for_sale?page=8","https://qsbproduction.blob.core.windows.net/211700-productcovers/9e393d38-20a6-4108-ad64-f55700cf000a_0_cover.webp","Toyota","Toyota-Hilux","Toyota-Toyota-Hilux-Standard-4-Automatic","AUTOHUB-Mawater City","Toyota-Toyota-Hilux-Standard-4-Automatic-2019","Automatic",4,143000,65000,"22 hours ago",159,NA,"https://qatarsale.com/en/product/toyota_hilux_white_pick_up_automatic_2019-211700","","","Toyota-Toyota-Hilux-Standard-4-Automatic-150000","2019",43423.6054989566,-102075.348034878,-2729.43309015533,-14734343.1321174,7285.42032085534,56467807.8479574,-27909.4642771126,100175.745454545,2022.44848484848,145000,"2019",150000,0,118599.47246711,74490.7270944756,70748.2500911554,70748.2500911554,64686.7517666667,5748.25009115538,8.84346167870059,8.84346167870059,-313.248233333303,-0.481920358974312,-0.481920358974312,5748.25009115538,-25685.0183600699,-3742.47700332018,87240.489447444,12935.2560071014,12.9125627649766
"1712650167-88","https://qatarsale.com/en/products/cars_for_sale?page=8","https://qsbproduction.blob.core.windows.net/212338-productcovers/741a96d9-9343-4035-bbc1-954743357633_0_cover.webp","Jetour","Jetour-T2","Jetour-Jetour-T2-Standard-4-Automatic","AUTOHUB-Mawater City","Jetour-Jetour-T2-Standard-4-Automatic-2024","Automatic",4,600,165000,"22 hours ago",456,NA,"https://qatarsale.com/en/product/blue_suv_automatic_2024_jetour_t2-212338","","","Jetour-Jetour-T2-Standard-4-Automatic-10000","2024",-11536.0224156508,21669.7217675941,-389.45420906568,-3.96397890357469e-14,0,2686.5671641791,0,170358.208955224,2024,2686.5671641791,"2024",10000,0,2686.5671641791,170695.652173913,168698.258273848,168698.258273848,172238.626190476,3698.25827384816,2.24136865081707,2.24136865081707,7238.62619047618,4.38704617604617,4.38704617604617,3698.25827384816,337.443218689179,-1997.3939000649,170822.470834235,-464.261879010766,-0.272520990833374
"1712650167-95","https://qatarsale.com/en/products/cars_for_sale?page=8","https://qsbproduction.blob.core.windows.net/198350-productcovers/7396b971-b403-442b-ac9b-fe3f16a106da_0_cover.webp","Nissan","Nissan-Pickup","Nissan-Nissan-Pickup-Standard-4-Manual","Prime Motors Cars","Nissan-Nissan-Pickup-Standard-4-Manual-2016","Manual",4,320000,26000,"22 hours ago",173,NA,"https://qatarsale.com/en/product/nissan_pickup_white_pick_up_manual_2016-198350","","","Nissan-Nissan-Pickup-Standard-4-Manual-320000","2016",-29803.7596511228,-102504.790237056,-2.07874590556807e-12,-15218642.8571391,7549.99999999814,40948363.6367131,-20181.8181819916,28000,2015.6875,261818.181818182,"2016",320000,0,261818.181818098,30800.0000000008,27932.7999999966,27932.7999999966,28535.6476190476,1932.79999999658,7.43384615383301,7.43384615383301,2535.64761904762,9.75249084249086,9.75249084249086,1932.79999999658,2800.0000000008,-2867.20000000421,27932.7999999966,67.2000000034168,0.240000000012203
"1712650167-96","https://qatarsale.com/en/products/cars_for_sale?page=8","https://qsbproduction.blob.core.windows.net/199959-productcovers/8bf28c53-f5d2-496c-80d7-da7660d38fe3_0_cover.webp","Nissan","Nissan-Sentra","Nissan-Nissan-Sentra-Standard-4-Automatic","Prime Motors Cars","Nissan-Nissan-Sentra-Standard-4-Automatic-2014","Automatic",4,244375,17000,"22 hours ago",294,NA,"https://qatarsale.com/en/product/nissan_sentra_gray_sedan_automatic_2014-199959","","","Nissan-Nissan-Sentra-Standard-4-Automatic-250000","2014",-29803.7596511228,-101861.933094198,-4.15769006524767e-12,-6979309.52380928,3460.31746031734,48794523.8095314,-24126.9841269879,29285.7142857143,2016.71428571429,193333.333333333,"2014",250000,0,202777.777777791,19055.5555555566,17615.8024691372,17615.8024691372,20266.7666666667,615.802469137205,3.62236746551297,3.62236746551297,3266.76666666667,19.2162745098039,19.2162745098039,615.802469137205,-10230.1587301577,-1439.75308641943,17615.8024691372,11669.9118165771,39.8484793736778
"1712650167-97","https://qatarsale.com/en/products/cars_for_sale?page=8","https://qsbproduction.blob.core.windows.net/205810-productcovers/7213d605-b0ea-420b-80dd-cfa294b22476_0_cover.webp","Cadillac","Cadillac-CT6","Cadillac-Cadillac-CT6-Standard-6-Automatic","Prime Motors Cars","Cadillac-Cadillac-CT6-Standard-6-Automatic-2018","Automatic",6,99000,75000,"22 hours ago",403,NA,"https://qatarsale.com/en/product/cadillac_ct6_gray_sedan_automatic_2018-205810","","","Cadillac-Cadillac-CT6-Standard-6-Automatic-1e+05","2018",-37166.4822998526,-48118.2580645161,3333.33333333334,16140000,-8000,20280000,-10000,79000,2017.5,1e+05,"2018",1e+05,0,1e+05,75000,75000,75000,74137.3281,0,0,0,-862.671900000016,-1.15022920000002,-1.15022920000002,0,-4000,0,75000,4000,5.06329113924051
"1712650167-98","https://qatarsale.com/en/products/cars_for_sale?page=8","https://qsbproduction.blob.core.windows.net/199953-productcovers/440542ad-e619-4b03-89d7-e03cbc038771_0_cover.webp","Lexus","Lexus-LX","Lexus-Lexus-LX-570 S-8-Automatic","Prime Motors Cars","Lexus-Lexus-LX-570 S-8-Automatic-2017","Automatic",8,61000,239000,"22 hours ago",280,NA,"https://qatarsale.com/en/product/lexus_lx_570_s_sonic_titanium_suv_automatic_2017-199953","","","Lexus-Lexus-LX-570 S-8-Automatic-70000","2017",54098.7719572914,13677.0579784978,-5411.46503700008,-59899105.1833504,29693.5730395604,46157764.3102579,-22804.1317537058,224152.420731707,2017.17682926829,166111.111111111,"2017",70000,0,161830.56303329,216147.409372868,247905.710654304,247905.710654304,243105.709523809,8905.71065430393,3.72623876749118,3.72623876749118,4105.70952380949,1.71787009364414,1.71787009364414,8905.71065430393,-8005.01135883946,31758.3012814361,226144.305812241,-1991.88508053386,-0.888629743114837
"1712650167-100","https://qatarsale.com/en/products/cars_for_sale?page=8","https://qsbproduction.blob.core.windows.net/215201-productcovers/14a01c4f-6dc3-4769-a489-5d7d5a3937f8_0_cover.webp","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-6-Automatic","AUTOHUB-Mawater City","Toyota-Toyota-Land Cruiser-GXR-6-Automatic-2024","Automatic",6,0,282000,"22 hours ago",42,NA,"https://qatarsale.com/en/product/toyota_land_cruiser_gxr_black_suv_automatic_2024-215201","","","Toyota-Toyota-Land Cruiser-GXR-6-Automatic-0","2024",43423.6054989566,25284.0485718444,-600.250644320051,-35633262.2664057,17625.6705825806,53674951.0486927,-26519.6251193117,230207.445705024,2021.5623987034,666.666666666667,"2024",0,0,0,270153.803194892,270153.803194892,270153.803194892,273480.470472321,-11846.1968051085,-4.20077900890371,-4.20077900890371,-8519.52952767879,-3.02110976158822,-3.02110976158822,11846.1968051085,39946.3574898672,0,226146.497082102,4060.94862292262,1.76403878270997
"1712650167-103","https://qatarsale.com/en/products/cars_for_sale?page=8","https://qsbproduction.blob.core.windows.net/215197-productcovers/b877eb29-c922-44c3-9da2-e32bc38daca0_0_cover.webp","Mini","Mini-Cooper","Mini-Mini-Cooper-JCW-4-Automatic","Al Kawthar - Mawater City","Mini-Mini-Cooper-JCW-4-Automatic-2023","Automatic",4,18000,159000,"22 hours ago",22,NA,"https://qatarsale.com/en/product/mini_cooper_jcw_off_white_hatchback_automatic_2023-215197","","","Mini-Mini-Cooper-JCW-4-Automatic-20000","2023",-62444.4879133884,3.53338273672467e-12,9011.56236383442,-23695000.7453706,11731.6259920636,11314513.888887,-5575.39682539588,106903.193548387,2019.64516129032,37500,"2023",20000,0,35486.1111111157,145597.118055556,149204.691091823,149204.691091823,142115.047566667,-9795.30890817739,-6.16057164036314,-6.16057164036314,-16884.9524333333,-10.6194669392033,-10.6194669392033,9795.30890817739,38693.924507169,3607.57303626652,144229.97970487,-37326.7861564834,-34.9164369346818
"1712650167-104","https://qatarsale.com/en/products/cars_for_sale?page=8","https://qsbproduction.blob.core.windows.net/215196-productcovers/d3097d80-6784-44ea-ba24-75a39f0e6a3f_0_cover.webp","Jetour","Jetour-T2","Jetour-Jetour-T2-Standard-4-Automatic","Triple Two Showroom","Jetour-Jetour-T2-Standard-4-Automatic-2024","Automatic",4,0,178000,"22 hours ago",28,NA,"https://qatarsale.com/en/product/blue_suv_automatic_2024_jetour_t2-215196","","","Jetour-Jetour-T2-Standard-4-Automatic-0","2024",-11536.0224156508,21669.7217675941,-389.45420906568,-3.96397890357469e-14,0,2686.5671641791,0,170358.208955224,2024,2686.5671641791,"2024",0,0,2686.5671641791,170695.652173913,171429.388708631,171429.388708631,170362.60814555,-6570.61129136922,-3.6913546580726,-3.6913546580726,-7637.39185444993,-4.29066958115165,-4.29066958115165,6570.61129136922,337.443218689179,733.736534717726,170822.470834235,-464.261879010766,-0.272520990833374
"1712650167-105","https://qatarsale.com/en/products/cars_for_sale?page=8","https://qsbproduction.blob.core.windows.net/215195-productcovers/4706db38-1ca1-42af-a5ee-a8738c68e7e5_0_cover.webp","Land Rover","Land Rover-Defender","Land Rover-Land Rover-Defender-110-6-Automatic","Al Kawthar - Mawater City","Land Rover-Land Rover-Defender-110-6-Automatic-2020","Automatic",6,89000,257000,"22 hours ago",55,NA,"https://qatarsale.com/en/product/land_rover_defender_110_green_suv_automatic_2020-215195","","","Land Rover-Land Rover-Defender-110-6-Automatic-90000","2020",45484.2440943665,103302.876048511,-3896.42191075515,-59338212.1052632,29355,36398954.5454589,-17977.2727272749,314066.666666667,2021.4,79090.9090909091,"2020",90000,0,84863.6363636404,264729.999999999,262554.400727274,262554.400727274,265364.6996,5554.40072727366,2.16124541917263,2.16124541917263,8364.69959999999,3.25474692607004,3.25474692607004,5554.40072727366,-49336.6666666675,-2175.59927272552,262554.400727274,51512.265939393,16.4016979216917
"1712650167-106","https://qatarsale.com/en/products/cars_for_sale?page=8","https://qsbproduction.blob.core.windows.net/215194-productcovers/5a02e4a7-2ffb-4c63-a324-d13184cfc90b_0_cover.webp","BMW","BMW-M-Series","BMW-BMW-M-Series-850 i-8-Automatic","Triple Two Showroom","BMW-BMW-M-Series-850 i-8-Automatic-2019","Automatic",8,56000,259000,"22 hours ago",47,NA,"https://qatarsale.com/en/product/bmw_m_series_850_i_gray_coupe_sport_automatic_2019-215194","","","BMW-BMW-M-Series-850 i-8-Automatic-60000","2019",1651.77240444844,62799.8205645161,71263.6666666667,-191836666.666697,95000.0000000149,40000,0,296666.666666667,2019.33333333333,40000,"2019",60000,0,40000,265000.00000001,256520.00000001,256520.00000001,174853.945533333,-2479.99999999037,-0.957528957525238,-0.957528957525238,-84146.0544666667,-32.4888241184041,-32.4888241184041,2479.99999999037,-31666.6666666567,-8480.00000000032,256520.00000001,40146.6666666571,13.5325842696597
"1712650167-107","https://qatarsale.com/en/products/cars_for_sale?page=8","https://qsbproduction.blob.core.windows.net/215193-productcovers/25c1beec-e879-4dc7-be6c-060d35db86f7_0_cover.webp","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GXR-6-Automatic","Laser Showroom","Toyota-Toyota-Land Cruiser-GXR-6-Automatic-2015","Automatic",6,230000,105000,"22 hours ago",14,NA,"https://qatarsale.com/en/product/toyota_land_cruiser_gxr_white_suv_automatic_2015-215193","","","Toyota-Toyota-Land Cruiser-GXR-6-Automatic-230000","2015",43423.6054989566,25284.0485718444,-600.250644320051,-35633262.2664057,17625.6705825806,53674951.0486927,-26519.6251193117,230207.445705024,2021.5623987034,243636.363636364,"2015",230000,0,237906.433279499,111522.767951671,112933.563669999,112933.563669999,115115.433333333,7933.56366999888,7.55577492380846,7.55577492380846,10115.4333333333,9.63374603174599,9.63374603174599,7933.56366999888,-118684.677753353,1410.79571832797,226146.497082102,4060.94862292262,1.76403878270997
"1712650167-108","https://qatarsale.com/en/products/cars_for_sale?page=8","https://qsbproduction.blob.core.windows.net/215191-productcovers/bf6e2118-e6fc-4fdd-a89f-9c4afa7b5c78_0_cover.webp","Land Rover","Land Rover-Defender","Land Rover-Land Rover-Defender-110 HSE-6-Automatic","Triple Two Showroom","Land Rover-Land Rover-Defender-110 HSE-6-Automatic-2022","Automatic",6,36000,319000,"22 hours ago",32,NA,"https://qatarsale.com/en/product/land_rover_defender_110_hse_silver_suv_automatic_2022-215191","","","Land Rover-Land Rover-Defender-110 HSE-6-Automatic-40000","2022",45484.2440943665,103302.876048511,1239.16171497585,-58393230.3317033,28883.8408816427,35049170.3296694,-17308.6080586076,309161.209677419,2021.46774193548,56666.6666666667,"2022",40000,0,51164.8351648375,320873.619867142,326605.621586441,326605.621586441,328311.275033333,7605.62158644054,2.38420739386851,2.38420739386851,9311.27503333328,2.91889499477532,2.91889499477532,7605.62158644054,11712.410189723,5732.00171929819,299787.767211269,9373.44246615027,3.03189474382332
