"Id","Link","Make","Model","Trim","Year","Price","Mileage","L_Predicted_Price","L_Price_Gap_Percentage","Average_Year_per_Trim","Average_Milerange_per_Trim_Year_LR","Average_Price_per_Trim","Year_Effect","Mileage_Effect"
"1712650157-69","https://qatarsale.com/en/product/mini_cooper_white_hatchback_automatic_2020-215176","Mini","Mini-Cooper","Mini-Mini-Cooper-Standard-4-Automatic","2020","62,000","67,000","86,353.69",39.2801454545462,"2,019.32","44,333.33","81,120.00","8,931.818","-3,698.128"
"1712650189-157","https://qatarsale.com/en/product/nissan_patrol_platinum_white_suv_automatic_2016-215213","Nissan","Nissan-Patrol","Nissan-Nissan-Patrol-Platinum-8-Automatic","2016","79,000","165,000","105,804.61",33.92988029684,"2,016.032","161,629.65","109,031.74"," -1,790.903","-1,436.2300"
"1712650250-357","https://qatarsale.com/en/product/nissan_patrol_se_white_suv_automatic_2016-215004","Nissan","Nissan-Patrol","Nissan-Nissan-Patrol-SE-8-Automatic","2016"," 59,000","165,000"," 87,134.45",47.685515901933,"2,015.86","194,245.68","85,254.00"," -1,373.529","3,253.983"
"1712650178-143","https://qatarsale.com/en/product/porsche_cayenne_gts_gray_suv_automatic_2014-188369","Porsche","Porsche-Cayenne","Porsche-Porsche-Cayenne-GTS-8-Automatic","2014","73,000","162,000","80,363.97",10.0876289531478,"2,015.071","115,555.56","124,928.57","-36,895.99","-7,668.616"
"1712650201-202","https://qatarsale.com/en/product/suv_automatic_gray_2016_s_cayenne_porsche-86056","Porsche","Porsche-Cayenne","Porsche-Porsche-Cayenne-S-6-Automatic","2016","90,000","140,000","132,927.3",47.6969786680846,"2,017.765","111,265.06","199,823.41","-60,490.16","-6,405.972"
"1712650250-349","https://qatarsale.com/en/product/suzuki_vitara_black_and_red_suv_automatic_2020-176398","Suzuki","Suzuki-Vitara","Suzuki-Suzuki-Vitara-Standard-4-Automatic","2020","36,500","1e+05","41,076.3",12.5378082191797,"2,020.857","80,250.00","48,856.43","-6,439.762","-1,340.367"
"1712650167-73","https://qatarsale.com/en/product/toyota_fortuner_white_suv_automatic_2020-207451","Toyota","Toyota-Fortuner","Toyota-Toyota-Fortuner-Standard-4-Automatic","2020","88,000","42,000","99,342.51",12.8892124507873,"2,020.433","73,064.81","98,600.00","-2,793.122","3,535.629"
"1712650146-3","https://qatarsale.com/en/product/toyota_land_cruiser_gx_white_suv_automatic_2019-215171","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GX-6-Automatic","2019","118,000","130,000","158,292.9",34.1465044892577,"2,022.194","141,427.630","212,786.34","-57,335.759","  2,842.291"
"1712650167-81","https://qatarsale.com/en/product/toyota_land_cruiser_gx_white_suv_automatic_2020-190460","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-GX-6-Automatic","2020","135,000","140,000","163,750.2",21.2964093028893,"2,022.194","114,880.349","212,786.34","-42,179.246"," -6,856.945"
"1712650189-172","https://qatarsale.com/en/product/toyota_land_cruiser_lx_beige_pick_up_automatic_2024-206831","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-Hard Top-6-Automatic","2024","174,999","3,000","196,099.2",12.0573260418631,"2,024.00","4,000.00","194,399.80","3,600.2","-1,900.8"
"1712650157-70","https://qatarsale.com/en/product/toyota_land_cruiser_vxr_white_suv_automatic_2015-215175","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-VXR-8-Automatic","2015","100,000","227,000","132,651.2",32.6511858226997,"2,017.893","261,622.95","185,270.15","-59,007.441","  6,388.4783"
"1712650227-274","https://qatarsale.com/en/product/toyota_land_cruiser_vxr_white_suv_automatic_2017-215252","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-VXR-8-Automatic","2017","150,000","177,000","175,310.6",16.8737447863804,"2,017.893","200,251.90","185,270.15","-15,461.837","  5,502.3056"
"1712650217-247","https://qatarsale.com/en/product/toyota_land_cruiser_vxr_white_suv_automatic_2019-212969","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-VXR-8-Automatic","2019","205,000"," 80,000","233,453.9",13.8799281225583,"2,017.893","138,880.85","185,270.15"," 28,083.767"," 20,099.9370"
"1712650157-60","https://qatarsale.com/en/product/toyota_land_cruiser_vxr_silver_suv_automatic_2019-212922","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-VXR-8-Automatic","2019","197,000","110,000","223,212.9",13.3060226911493,"2,017.893","138,880.85","185,270.15"," 28,083.767","  9,858.9491"
"1712650250-342","https://qatarsale.com/en/product/toyota_land_cruiser_vxr_pearl_suv_automatic_2016-208975","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-VXR-8-Automatic","2016","132,000","225,000","148,257.5",12.3163217886699,"2,017.893","230,937.42","185,270.15","-37,234.639","    222.0352"
"1712650250-358","https://qatarsale.com/en/product/toyota_land_cruiser_vxs_black_suv_automatic_2016-215006","Toyota","Toyota-Land Cruiser","Toyota-Toyota-Land Cruiser-VXS-8-Automatic","2016","157,000","157,000","184,042.2",17.2243174914344,"2,017.00","214,125.00","191,250.00","-21,875.64","14,667.82"
