"Id","Link","Make","Model","Trim","Year","Price","Mileage","L_Predicted_Price","L_Price_Gap_Percentage","Average_Year_per_Trim","Average_Milerange_per_Trim_Year_LR","Average_Price_per_Trim","Year_Effect","Mileage_Effect"
"1712255120-11584","https://qatarsale.com/en/product/hyundai_staria_white_van_bus_automatic_2023-192554","Hyundai","Hyundai-Staria","Hyundai-Hyundai-Staria-Standard-6-Automatic","2023"," 96,000"," 2,000","135,011.4",40.6368715706387,"2,022.786","11,574.07","111,850.00","22,822.222","   339.1745"
"1712256237-14440","https://qatarsale.com/en/product/hyundai_staria_black_van_bus_automatic_2023-192553","Hyundai","Hyundai-Staria","Hyundai-Hyundai-Staria-Standard-6-Automatic","2023"," 96,000"," 7,500","135,011.4",40.6368715706387,"2,022.786","11,574.07","111,850.00","22,822.222","   339.1745"
"1712256732-15767","https://qatarsale.com/en/product/hyundai_staria_white_van_bus_automatic_2023-192555","Hyundai","Hyundai-Staria","Hyundai-Hyundai-Staria-Standard-6-Automatic","2023"," 96,000"," 4,000","135,011.4",40.6368715706387,"2,022.786","11,574.07","111,850.00","22,822.222","   339.1745"
"1712254789-10727","https://qatarsale.com/en/product/infiniti_qx_80_silver_suv_automatic_2020-198810","Infiniti","Infiniti-QX","Infiniti-Infiniti-QX-80-8-Automatic","2020","145,000"," 55,000","198,102.23",36.6222301662437,"2,018.069"," 69,121.21","149,962.07","  45,290.658","  2,849.5065"
"1712256597-15392","https://qatarsale.com/en/product/infiniti_qx_80_gray_suv_automatic_2017-190829","Infiniti","Infiniti-QX","Infiniti-Infiniti-QX-80-8-Automatic","2017","110,000"," 36,000","138,144.23",25.5856677484304,"2,018.069","140,812.12","149,962.07"," -31,005.463"," 19,187.6285"
"1712254005-8594","https://qatarsale.com/en/product/jeep_wrangler_sahara_gray_suv_automatic_2018-190155","Jeep","Jeep-Wrangler","Jeep-Jeep-Wrangler-Sahara-6-Automatic","2018"," 89,000"," 75,000","110,093.18",23.7002055818821,"2,019.969"," 80,315.32","138,093.66","-28,055.988","     55.5145"
"1712257366-17343","https://qatarsale.com/en/product/kia_picanto_white_sedan_automatic_2022-213930","Kia","Kia-Picanto","Kia-Kia-Picanto-Standard-4-Automatic","2022","33,000"," 36,000","39,843.13",20.7367680890609,"2,021.25"," 60,785.71","30,166.67","  8,394.048"," 1,282.41918"
"1712257378-17366","https://qatarsale.com/en/product/kia_sportage_white_suv_automatic_2020-213961","Kia","Kia-Sportage","Kia-Kia-Sportage-Standard-4-Automatic","2020"," 58,000"," 68,000"," 70,547.70",21.6339641611073,"2,018.938"," 83,643.62","58,625.00"," 10,415.559","  1,507.1407"
"1712256504-15135","https://qatarsale.com/en/product/kia_sportage_maroon_suv_automatic_2020-206377","Kia","Kia-Sportage","Kia-Kia-Sportage-Standard-4-Automatic","2020"," 59,000"," 52,000"," 71,652.35",21.444657880699,"2,018.938"," 83,643.62","58,625.00"," 10,415.559","  2,611.7896"
"1712256251-14478","https://qatarsale.com/en/product/land_rover_evoque_white_suv_automatic_2020-206817","Land Rover","Land Rover-Evoque","Land Rover-Land Rover-Evoque-Standard-4-Automatic","2020","144,000"," 42,000","181,169.65",25.8122568238318,"2,017.25"," 50,791.001","99,204.17"," 81,736.48442","    228.9987"
